season,season_formatted,team_id,team_name,conference,franchise_id,current_season_points,previous_season_points,change_in_points,current_season_rank,previous_season_rank,change_in_rank,conference_rank
2001,2001-02,17,Detroit Red Wings,Eastern,12,116,111,5,1,2,1,1
2001,2001-02,6,Boston Bruins,Eastern,6,101,88,13,2,17,15,2
2001,2001-02,10,Toronto Maple Leafs,Eastern,5,100,90,10,3,14,11,3
2001,2001-02,21,Colorado Avalanche,Western,27,99,118,-19,4,1,-3,1
2001,2001-02,28,San Jose Sharks,Western,29,99,95,4,4,11,7,1
2001,2001-02,19,St. Louis Blues,Western,18,98,103,-5,6,6,0,3
2001,2001-02,4,Philadelphia Flyers,Eastern,16,97,100,-3,7,7,0,4
2001,2001-02,16,Chicago Blackhawks,Western,11,96,71,25,8,22,14,4
2001,2001-02,2,New York Islanders,Eastern,22,96,52,44,8,30,22,5
2001,2001-02,26,Los Angeles Kings,Western,14,95,92,3,10,13,3,5
2001,2001-02,27,Phoenix Coyotes,Western,28,95,90,5,10,14,4,5
2001,2001-02,1,New Jersey Devils,Eastern,23,95,111,-16,10,2,-8,6
2001,2001-02,9,Ottawa Senators,Eastern,30,94,109,-15,13,4,-9,7
2001,2001-02,23,Vancouver Canucks,Western,20,94,90,4,13,14,1,7
2001,2001-02,22,Edmonton Oilers,Western,25,92,93,-1,15,12,-3,8
2001,2001-02,12,Carolina Hurricanes,Eastern,26,91,88,3,16,17,1,8
2001,2001-02,25,Dallas Stars,Western,15,90,106,-16,17,5,-12,9
2001,2001-02,8,Montréal Canadiens,Eastern,1,87,70,17,18,24,6,9
2001,2001-02,15,Washington Capitals,Eastern,24,85,96,-11,19,9,-10,10
2001,2001-02,7,Buffalo Sabres,Eastern,19,82,98,-16,20,8,-12,11
2001,2001-02,3,New York Rangers,Eastern,10,80,72,8,21,21,0,12
2001,2001-02,20,Calgary Flames,Western,21,79,73,6,22,20,-2,10
2001,2001-02,30,Minnesota Wild,Western,37,73,68,5,23,25,2,11
2001,2001-02,5,Pittsburgh Penguins,Eastern,17,69,96,-27,24,9,-15,13
2001,2001-02,24,Anaheim Ducks,Western,32,69,66,3,24,26,2,12
2001,2001-02,14,Tampa Bay Lightning,Eastern,31,69,59,10,24,29,5,13
2001,2001-02,18,Nashville Predators,Western,34,69,80,-11,24,19,-5,12
2001,2001-02,13,Florida Panthers,Eastern,33,60,66,-6,28,26,-2,15
2001,2001-02,29,Columbus Blue Jackets,Eastern,36,57,71,-14,29,22,-7,16
2001,2001-02,11,Atlanta Thrashers,Eastern,35,54,60,-6,30,28,-2,17
2002,2002-03,9,Ottawa Senators,Eastern,30,113,94,19,1,13,12,1
2002,2002-03,25,Dallas Stars,Western,15,111,90,21,2,17,15,1
2002,2002-03,17,Detroit Red Wings,Eastern,12,110,116,-6,3,1,-2,2
2002,2002-03,1,New Jersey Devils,Eastern,23,108,95,13,4,10,6,3
2002,2002-03,4,Philadelphia Flyers,Eastern,16,107,97,10,5,7,2,4
2002,2002-03,21,Colorado Avalanche,Western,27,105,99,6,6,4,-2,2
2002,2002-03,23,Vancouver Canucks,Western,20,104,94,10,7,13,6,3
2002,2002-03,19,St. Louis Blues,Western,18,99,98,1,8,6,-2,4
2002,2002-03,10,Toronto Maple Leafs,Eastern,5,98,100,-2,9,3,-6,5
2002,2002-03,24,Anaheim Ducks,Western,32,95,69,26,10,24,14,5
2002,2002-03,30,Minnesota Wild,Western,37,95,73,22,10,23,13,5
2002,2002-03,14,Tampa Bay Lightning,Eastern,31,93,69,24,12,24,12,6
2002,2002-03,22,Edmonton Oilers,Western,25,92,92,0,13,15,2,7
2002,2002-03,15,Washington Capitals,Eastern,24,92,85,7,13,19,6,7
2002,2002-03,6,Boston Bruins,Eastern,6,87,101,-14,15,2,-13,8
2002,2002-03,2,New York Islanders,Eastern,22,83,96,-13,16,8,-8,9
2002,2002-03,26,Los Angeles Kings,Western,14,79,95,-16,17,10,-7,8
2002,2002-03,16,Chicago Blackhawks,Western,11,79,96,-17,17,8,-9,8
2002,2002-03,3,New York Rangers,Eastern,10,78,80,-2,19,21,2,10
2002,2002-03,27,Phoenix Coyotes,Western,28,78,95,-17,19,10,-9,10
2002,2002-03,8,Montréal Canadiens,Eastern,1,77,87,-10,21,18,-3,11
2002,2002-03,20,Calgary Flames,Western,21,75,79,-4,22,22,0,11
2002,2002-03,11,Atlanta Thrashers,Eastern,35,74,54,20,23,30,7,12
2002,2002-03,18,Nashville Predators,Western,34,74,69,5,23,24,1,12
2002,2002-03,28,San Jose Sharks,Western,29,73,99,-26,25,4,-21,13
2002,2002-03,7,Buffalo Sabres,Eastern,19,72,82,-10,26,20,-6,13
2002,2002-03,13,Florida Panthers,Eastern,33,70,60,10,27,28,1,14
2002,2002-03,29,Columbus Blue Jackets,Eastern,36,69,57,12,28,29,1,15
2002,2002-03,5,Pittsburgh Penguins,Eastern,17,65,69,-4,29,24,-5,16
2002,2002-03,12,Carolina Hurricanes,Eastern,26,61,91,-30,30,16,-14,17
2003,2003-04,17,Detroit Red Wings,Eastern,12,109,110,-1,1,3,2,1
2003,2003-04,14,Tampa Bay Lightning,Eastern,31,106,93,13,2,12,10,2
2003,2003-04,6,Boston Bruins,Eastern,6,104,87,17,3,15,12,3
2003,2003-04,28,San Jose Sharks,Western,29,104,73,31,3,25,22,1
2003,2003-04,10,Toronto Maple Leafs,Eastern,5,103,98,5,5,9,4,4
2003,2003-04,9,Ottawa Senators,Eastern,30,102,113,-11,6,1,-5,5
2003,2003-04,4,Philadelphia Flyers,Eastern,16,101,107,-6,7,5,-2,6
2003,2003-04,23,Vancouver Canucks,Western,20,101,104,-3,7,7,0,2
2003,2003-04,1,New Jersey Devils,Eastern,23,100,108,-8,9,4,-5,7
2003,2003-04,21,Colorado Avalanche,Western,27,100,105,-5,9,6,-3,3
2003,2003-04,25,Dallas Stars,Western,15,97,111,-14,11,2,-9,4
2003,2003-04,20,Calgary Flames,Western,21,94,75,19,12,22,10,5
2003,2003-04,8,Montréal Canadiens,Eastern,1,93,77,16,13,21,8,8
2003,2003-04,2,New York Islanders,Eastern,22,91,83,8,14,16,2,9
2003,2003-04,18,Nashville Predators,Western,34,91,74,17,14,23,9,6
2003,2003-04,19,St. Louis Blues,Western,18,91,99,-8,14,8,-6,6
2003,2003-04,22,Edmonton Oilers,Western,25,89,92,-3,17,13,-4,8
2003,2003-04,7,Buffalo Sabres,Eastern,19,85,72,13,18,26,8,10
2003,2003-04,30,Minnesota Wild,Western,37,83,95,-12,19,10,-9,9
2003,2003-04,26,Los Angeles Kings,Western,14,81,79,2,20,17,-3,10
2003,2003-04,11,Atlanta Thrashers,Eastern,35,78,74,4,21,23,2,11
2003,2003-04,24,Anaheim Ducks,Western,32,76,95,-19,22,10,-12,11
2003,2003-04,12,Carolina Hurricanes,Eastern,26,76,61,15,22,30,8,12
2003,2003-04,13,Florida Panthers,Eastern,33,75,70,5,24,27,3,13
2003,2003-04,3,New York Rangers,Eastern,10,69,78,-9,25,19,-6,14
2003,2003-04,27,Phoenix Coyotes,Western,28,68,78,-10,26,19,-7,12
2003,2003-04,29,Columbus Blue Jackets,Eastern,36,62,69,-7,27,28,1,15
2003,2003-04,16,Chicago Blackhawks,Western,11,59,79,-20,28,17,-11,13
2003,2003-04,15,Washington Capitals,Eastern,24,59,92,-33,28,13,-15,16
2003,2003-04,5,Pittsburgh Penguins,Eastern,17,58,65,-7,30,29,-1,17
2005,2005-06,17,Detroit Red Wings,Eastern,12,124,109,15,1,1,0,1
2005,2005-06,9,Ottawa Senators,Eastern,30,113,102,11,2,6,4,2
2005,2005-06,12,Carolina Hurricanes,Eastern,26,112,76,36,3,22,19,3
2005,2005-06,25,Dallas Stars,Western,15,112,97,15,3,11,8,1
2005,2005-06,7,Buffalo Sabres,Eastern,19,110,85,25,5,18,13,4
2005,2005-06,18,Nashville Predators,Western,34,106,91,15,6,14,8,2
2005,2005-06,20,Calgary Flames,Western,21,103,94,9,7,12,5,3
2005,2005-06,4,Philadelphia Flyers,Eastern,16,101,101,0,8,7,-1,5
2005,2005-06,1,New Jersey Devils,Eastern,23,101,100,1,8,9,1,5
2005,2005-06,3,New York Rangers,Eastern,10,100,69,31,10,25,15,7
2005,2005-06,28,San Jose Sharks,Western,29,99,104,-5,11,3,-8,4
2005,2005-06,24,Anaheim Ducks,Western,32,98,76,22,12,22,10,5
2005,2005-06,22,Edmonton Oilers,Western,25,95,89,6,13,17,4,6
2005,2005-06,21,Colorado Avalanche,Western,27,95,100,-5,13,9,-4,6
2005,2005-06,8,Montréal Canadiens,Eastern,1,93,93,0,15,13,-2,8
2005,2005-06,14,Tampa Bay Lightning,Eastern,31,92,106,-14,16,2,-14,9
2005,2005-06,23,Vancouver Canucks,Western,20,92,101,-9,16,7,-9,8
2005,2005-06,11,Atlanta Thrashers,Eastern,35,90,78,12,18,21,3,10
2005,2005-06,10,Toronto Maple Leafs,Eastern,5,90,103,-13,18,5,-13,10
