season,Avalanche,Blackhawks,Blue Jackets,Blues,Bruins,Canadiens,Canucks,Capitals,Coyotes,Devils,Ducks,Flames,Flyers,Golden Knights,Hurricanes,Islanders,Jets,Kings,Kraken,Lightning,Maple Leafs,Oilers,Panthers,Penguins,Predators,Rangers,Red Wings,Sabres,Senators,Sharks,Stars,Wild
2001,4,8,29,6,2,18,13,19,10,10,24,22,7,0,16,8,30,10,0,24,3,15,28,24,24,21,1,20,13,4,17,23
2002,6,17,28,8,15,21,7,13,19,4,10,22,5,0,30,16,23,17,0,12,9,13,27,29,23,19,3,26,1,25,2,10
2003,9,28,27,14,3,13,7,28,26,9,22,12,7,0,22,14,21,20,0,2,5,17,24,30,14,25,1,18,6,3,11,19
2005,13,28,25,30,25,15,16,27,23,8,12,7,8,0,3,24,18,20,0,16,18,13,21,29,6,10,1,5,2,11,3,22
2006,14,25,24,22,23,19,8,27,29,5,3,13,30,0,20,17,12,28,0,16,18,25,21,8,3,15,1,1,8,5,5,11
2007,10,19,25,26,12,3,19,12,23,6,4,12,10,0,16,26,28,29,0,29,23,19,22,4,17,8,1,18,12,2,8,7
2008,28,6,15,15,2,13,7,4,25,5,17,10,8,0,11,30,27,25,0,29,24,21,13,8,20,12,3,17,22,1,22,19
2009,12,3,26,15,14,18,5,1,4,5,17,15,18,0,24,26,23,8,0,24,29,30,28,8,10,21,7,10,13,2,18,22
2010,29,13,23,20,7,14,1,2,9,23,9,17,3,0,19,27,25,12,0,7,22,30,28,3,9,18,6,14,26,5,16,21
2011,20,10,30,2,7,28,1,15,11,7,25,17,6,0,23,27,21,13,0,21,25,29,14,4,5,2,7,18,15,12,18,24
2012,29,1,15,6,5,4,7,9,18,21,3,25,20,0,25,15,18,7,0,28,9,24,30,2,27,12,12,21,12,9,21,15
2013,3,7,14,4,1,9,24,17,18,19,2,27,13,0,24,26,22,9,0,8,22,28,29,6,19,12,14,30,19,4,16,11
2014,21,7,22,3,17,2,8,8,29,25,3,16,24,0,26,8,13,18,0,5,27,28,20,15,6,1,11,30,13,22,19,11
2015,21,5,27,3,15,21,28,1,24,20,5,26,13,0,18,10,24,8,0,12,30,29,5,4,13,9,15,23,19,11,2,17
2016,30,3,4,10,13,7,29,1,27,27,6,15,19,0,20,15,20,22,0,15,13,7,23,2,15,9,24,26,12,10,24,5
2017,17,25,14,18,4,28,26,6,29,14,8,20,12,5,21,22,2,12,0,3,6,23,16,10,1,24,26,31,30,10,19,8
2018,17,20,13,10,2,14,23,4,18,29,24,2,22,15,10,5,10,30,0,1,7,25,18,7,7,26,28,27,31,6,15,21
2019,3,23,11,2,1,24,18,5,22,25,27,16,6,7,11,14,14,28,0,3,11,9,18,7,18,16,31,25,30,29,10,21
2020,1,20,27,14,10,18,24,5,22,29,30,20,19,1,3,12,14,25,0,8,5,11,4,5,13,16,27,31,23,25,16,8
2021,2,27,21,9,10,32,18,13,31,28,23,6,29,17,3,20,19,14,30,7,4,11,1,12,16,7,25,24,26,22,15,5
