season,season_formatted,team,points,previous_season_points,change_in_points,previous_season_place,change_in_place
2001,2001-02,Detroit Red Wings,106,102,4,2,1
2001,2001-02,Boston Bruins,95,80,15,13,11
2001,2001-02,Colorado Avalanche,91,108,-17,1,-2
2001,2001-02,San Jose Sharks,91,83,8,11,7
2001,2001-02,Toronto Maple Leafs,90,79,11,16,11
2001,2001-02,St. Louis Blues,90,91,-1,7,1
2001,2001-02,New York Islanders,88,45,43,30,23
2001,2001-02,Philadelphia Flyers,87,89,-2,8,0
2001,2001-02,Vancouver Canucks,87,79,8,14,5
2001,2001-02,New Jersey Devils,86,99,-13,4,-6
2001,2001-02,Phoenix Coyotes,86,73,13,18,7
2001,2001-02,Ottawa Senators,85,100,-15,3,-9
2001,2001-02,Los Angeles Kings,84,79,5,15,2
2001,2001-02,Chicago Blackhawks,83,63,20,21,7
2001,2001-02,Edmonton Oilers,80,81,-1,12,-3
2001,2001-02,Dallas Stars,77,98,-21,5,-11
2001,2001-02,New York Rangers,76,67,9,20,3
2001,2001-02,Montréal Canadiens,75,62,13,22,4
2001,2001-02,Carolina Hurricanes,75,79,-4,17,-2
2001,2001-02,Washington Capitals,74,86,-12,10,-10
2001,2001-02,Buffalo Sabres,71,93,-22,6,-15
2001,2001-02,Calgary Flames,67,58,9,24,2
2001,2001-02,Pittsburgh Penguins,61,87,-26,9,-14
2001,2001-02,Anaheim Ducks,61,55,6,25,1
2001,2001-02,Minnesota Wild,61,55,6,26,1
2001,2001-02,Tampa Bay Lightning,58,53,5,28,2
2001,2001-02,Nashville Predators,56,71,-15,19,-8
2001,2001-02,Florida Panthers,50,53,-3,27,-1
2001,2001-02,Columbus Blue Jackets,49,62,-13,23,-6
2001,2001-02,Atlanta Thrashers,43,48,-5,29,-1
2002,2002-03,Ottawa Senators,105,85,20,12,11
2002,2002-03,Detroit Red Wings,100,106,-6,1,-1
2002,2002-03,New Jersey Devils,98,86,12,10,7
2002,2002-03,Dallas Stars,96,77,19,16,12
2002,2002-03,Philadelphia Flyers,94,87,7,8,3
2002,2002-03,Colorado Avalanche,92,91,1,3,-3
2002,2002-03,Toronto Maple Leafs,91,90,1,5,-2
2002,2002-03,Vancouver Canucks,91,87,4,9,1
2002,2002-03,St. Louis Blues,88,90,-2,6,-3
2002,2002-03,Anaheim Ducks,86,61,25,24,14
2002,2002-03,Minnesota Wild,85,61,24,25,14
2002,2002-03,Washington Capitals,84,74,10,20,8
2002,2002-03,Edmonton Oilers,81,80,1,15,2
2002,2002-03,Tampa Bay Lightning,77,58,19,26,12
2002,2002-03,Boston Bruins,76,95,-19,2,-13
2002,2002-03,Los Angeles Kings,73,84,-11,13,-3
2002,2002-03,New York Islanders,72,88,-16,7,-10
2002,2002-03,Montréal Canadiens,69,75,-6,18,0
2002,2002-03,New York Rangers,68,76,-8,17,-2
2002,2002-03,Phoenix Coyotes,67,86,-19,11,-9
2002,2002-03,Atlanta Thrashers,67,43,24,30,9
2002,2002-03,Chicago Blackhawks,66,83,-17,14,-8
2002,2002-03,San Jose Sharks,64,91,-27,4,-19
2002,2002-03,Buffalo Sabres,62,71,-9,21,-3
2002,2002-03,Calgary Flames,62,67,-5,22,-3
2002,2002-03,Columbus Blue Jackets,61,49,12,29,3
2002,2002-03,Nashville Predators,61,56,5,27,0
2002,2002-03,Pittsburgh Penguins,59,61,-2,23,-5
2002,2002-03,Florida Panthers,57,50,7,28,-1
2002,2002-03,Carolina Hurricanes,50,75,-25,19,-11
2003,2003-04,Detroit Red Wings,98,100,-2,2,1
2003,2003-04,Tampa Bay Lightning,98,77,21,14,12
2003,2003-04,Toronto Maple Leafs,93,91,2,7,4
2003,2003-04,Ottawa Senators,92,105,-13,1,-3
2003,2003-04,San Jose Sharks,92,64,28,23,18
2003,2003-04,Vancouver Canucks,91,91,0,8,2
2003,2003-04,Boston Bruins,89,76,13,15,8
2003,2003-04,New Jersey Devils,88,98,-10,3,-5
2003,2003-04,Calgary Flames,87,62,25,25,16
2003,2003-04,Colorado Avalanche,87,92,-5,6,-4
2003,2003-04,Montréal Canadiens,86,69,17,18,7
2003,2003-04,Philadelphia Flyers,86,94,-8,5,-7
2003,2003-04,Dallas Stars,84,96,-12,4,-9
2003,2003-04,New York Islanders,80,72,8,17,3
2003,2003-04,Nashville Predators,80,61,19,27,12
2003,2003-04,St. Louis Blues,80,88,-8,9,-7
2003,2003-04,Buffalo Sabres,78,62,16,24,7
2003,2003-04,Edmonton Oilers,77,81,-4,13,-5
2003,2003-04,Atlanta Thrashers,70,67,3,21,2
2003,2003-04,Anaheim Ducks,66,86,-20,10,-10
2003,2003-04,Los Angeles Kings,65,73,-8,16,-5
2003,2003-04,Minnesota Wild,63,85,-22,11,-11
2003,2003-04,Carolina Hurricanes,62,50,12,30,7
2003,2003-04,New York Rangers,62,68,-6,19,-5
2003,2003-04,Florida Panthers,60,57,3,29,4
2003,2003-04,Columbus Blue Jackets,54,61,-7,26,0
2003,2003-04,Pittsburgh Penguins,50,59,-9,28,1
2003,2003-04,Phoenix Coyotes,50,67,-17,20,-8
2003,2003-04,Washington Capitals,49,84,-35,12,-17
2003,2003-04,Chicago Blackhawks,48,66,-18,22,-8
2006,2006-07,Buffalo Sabres,113,110,3,5,4
2006,2006-07,Detroit Red Wings,113,124,-11,1,-1
2006,2006-07,Nashville Predators,110,106,4,6,3
2006,2006-07,Anaheim Ducks,110,98,12,12,8
2006,2006-07,Dallas Stars,107,112,-5,4,-1
2006,2006-07,San Jose Sharks,107,99,8,11,5
2006,2006-07,New Jersey Devils,107,101,6,9,2
2006,2006-07,Ottawa Senators,105,113,-8,2,-6
2006,2006-07,Pittsburgh Penguins,105,58,47,29,20
2006,2006-07,Vancouver Canucks,105,92,13,17,7
2006,2006-07,Minnesota Wild,104,84,20,22,11
2006,2006-07,Atlanta Thrashers,97,90,7,18,6
2006,2006-07,Calgary Flames,96,103,-7,7,-6
2006,2006-07,Colorado Avalanche,95,95,0,14,0
2006,2006-07,New York Rangers,94,100,-6,10,-5
2006,2006-07,Tampa Bay Lightning,93,92,1,16,0
2006,2006-07,New York Islanders,92,78,14,24,7
2006,2006-07,Toronto Maple Leafs,91,90,1,19,1
2006,2006-07,Montréal Canadiens,90,93,-3,15,-4
2006,2006-07,Carolina Hurricanes,88,112,-24,3,-17
2006,2006-07,Florida Panthers,86,85,1,21,0
2006,2006-07,St. Louis Blues,81,57,24,30,8
2006,2006-07,Boston Bruins,76,74,2,25,2
2006,2006-07,Columbus Blue Jackets,73,74,-1,26,2
2006,2006-07,Chicago Blackhawks,71,65,6,28,3
2006,2006-07,Edmonton Oilers,71,95,-24,13,-13
2006,2006-07,Washington Capitals,70,70,0,27,0
2006,2006-07,Los Angeles Kings,68,89,-21,20,-8
2006,2006-07,Phoenix Coyotes,67,81,-14,23,-6
2006,2006-07,Philadelphia Flyers,56,101,-45,8,-22
2007,2007-08,Detroit Red Wings,115,113,2,2,1
2007,2007-08,San Jose Sharks,108,107,1,6,4
2007,2007-08,Montréal Canadiens,104,90,14,19,16
2007,2007-08,Anaheim Ducks,102,110,-8,4,0
2007,2007-08,Pittsburgh Penguins,102,105,-3,9,4
2007,2007-08,New Jersey Devils,99,107,-8,7,1
2007,2007-08,Minnesota Wild,98,104,-6,11,4
2007,2007-08,Dallas Stars,97,107,-10,5,-3
2007,2007-08,New York Rangers,97,94,3,15,6
2007,2007-08,Colorado Avalanche,95,95,0,14,4
2007,2007-08,Philadelphia Flyers,95,56,39,30,19
2007,2007-08,Ottawa Senators,94,105,-11,8,-4
2007,2007-08,Calgary Flames,94,96,-2,13,0
2007,2007-08,Washington Capitals,94,70,24,27,13
2007,2007-08,Boston Bruins,94,76,18,23,8
2007,2007-08,Carolina Hurricanes,92,88,4,20,4
2007,2007-08,Nashville Predators,91,110,-19,3,-14
2007,2007-08,Buffalo Sabres,90,113,-23,1,-17
2007,2007-08,Chicago Blackhawks,88,71,17,25,6
2007,2007-08,Edmonton Oilers,88,71,17,26,6
2007,2007-08,Vancouver Canucks,88,105,-17,10,-11
2007,2007-08,Florida Panthers,85,86,-1,21,-1
2007,2007-08,Toronto Maple Leafs,83,91,-8,18,-5
2007,2007-08,Phoenix Coyotes,83,67,16,29,5
2007,2007-08,Columbus Blue Jackets,80,73,7,24,-1
2007,2007-08,St. Louis Blues,79,81,-2,22,-4
2007,2007-08,New York Islanders,79,92,-13,17,-10
2007,2007-08,Atlanta Thrashers,76,97,-21,12,-16
2007,2007-08,Los Angeles Kings,71,68,3,28,-1
2007,2007-08,Tampa Bay Lightning,71,93,-22,16,-14
2008,2008-09,San Jose Sharks,117,108,9,2,1
2008,2008-09,Boston Bruins,116,94,22,15,13
2008,2008-09,Detroit Red Wings,112,115,-3,1,-2
2008,2008-09,Washington Capitals,108,94,14,14,10
2008,2008-09,New Jersey Devils,106,99,7,6,1
2008,2008-09,Chicago Blackhawks,104,88,16,19,13
2008,2008-09,Vancouver Canucks,100,88,12,21,14
2008,2008-09,Pittsburgh Penguins,99,102,-3,5,-3
2008,2008-09,Philadelphia Flyers,99,95,4,11,2
2008,2008-09,Calgary Flames,98,94,4,13,3
2008,2008-09,Carolina Hurricanes,97,92,5,16,5
2008,2008-09,New York Rangers,95,97,-2,9,-3
2008,2008-09,Florida Panthers,93,85,8,22,9
2008,2008-09,Montréal Canadiens,93,104,-11,3,-11
2008,2008-09,St. Louis Blues,92,79,13,26,11
2008,2008-09,Columbus Blue Jackets,92,80,12,25,9
2008,2008-09,Anaheim Ducks,91,102,-11,4,-13
2008,2008-09,Buffalo Sabres,91,90,1,18,0
2008,2008-09,Minnesota Wild,89,98,-9,7,-12
2008,2008-09,Nashville Predators,88,91,-3,17,-3
2008,2008-09,Edmonton Oilers,85,88,-3,20,-1
